iter	RMSE
0	39.96025544
1	38.11606629
2	36.70388831
3	35.30949262
4	34.13643975
5	32.77872604
6	31.67099138
7	30.6151719
8	29.7211873
9	29.02663488
10	28.16001829
11	27.68647771
12	26.93498017
13	26.45897385
14	25.93525724
15	25.44749456
16	24.95968484
17	24.38954112
18	23.92133088
19	23.37388872
20	22.95005962
21	22.66104208
22	22.0796727
23	21.65933101
24	21.06930445
25	20.757191
26	20.50408148
27	20.00800329
28	19.73817252
29	19.4006264
30	18.88952347
31	18.44549573
32	18.1946695
33	17.91331819
34	17.7282783
35	17.51949345
36	17.2904533
37	17.05023621
38	16.84720742
39	16.67428685
40	16.43974705
41	16.25490387
42	15.92863548
43	15.79036965
44	15.5013087
45	15.16859253
46	14.88749042
47	14.49372429
48	14.26432339
49	14.03000343
50	13.71808909
51	13.64414732
52	13.4377016
53	13.27282891
54	13.04827188
55	12.72013858
56	12.50547174
57	12.32606035
58	12.11125504
59	11.8826622
60	11.59207567
61	11.45366646
62	11.19165605
63	10.89228025
64	10.71310391
65	10.51808106
66	10.27947677
67	9.979002651
68	9.854806088
69	9.575841014
70	9.313040167
71	9.050860069
72	8.900854949
73	8.66241219
74	8.481368901
75	8.27205753
76	8.198136527
77	7.996202688
78	7.855364083
79	7.720939204
80	7.605825254
81	7.455004356
82	7.28699263
83	7.173772496
84	7.040199423
85	6.916037817
86	6.800630012
87	6.698600724
88	6.602147732
89	6.558789482
90	6.481353743
91	6.40892315
92	6.370528292
93	6.26670048
94	6.232277169
95	6.200509729
96	6.135395335
97	6.074585272
98	5.975809123
99	5.883890154
