iter	Passed	Remaining
0	34	3452
1	67	3287
2	104	3392
3	146	3525
4	186	3537
5	199	3129
6	227	3018
7	248	2862
8	267	2702
9	299	2693
10	318	2579
11	361	2648
12	393	2635
13	446	2745
14	473	2685
15	485	2548
16	526	2570
17	566	2580
18	594	2534
19	631	2527
20	674	2537
21	688	2439
22	726	2431
23	767	2429
24	807	2423
25	846	2408
26	890	2407
27	927	2385
28	968	2371
29	1007	2351
30	1046	2329
31	1091	2318
32	1129	2293
33	1169	2270
34	1210	2247
35	1240	2206
36	1279	2178
37	1324	2160
38	1342	2100
39	1383	2075
40	1424	2049
41	1465	2024
42	1507	1998
43	1547	1970
44	1586	1938
45	1626	1909
46	1667	1880
47	1714	1857
48	1755	1826
49	1796	1796
50	1836	1764
51	1874	1730
52	1914	1698
53	1957	1667
54	1999	1636
55	2042	1604
56	2082	1570
57	2123	1537
58	2164	1504
59	2203	1468
60	2245	1435
61	2285	1400
62	2325	1366
63	2367	1331
64	2407	1296
65	2449	1261
66	2490	1226
67	2532	1191
68	2576	1157
69	2615	1120
70	2655	1084
71	2697	1048
72	2738	1012
73	2780	976
74	2820	940
75	2858	902
76	2898	865
77	2938	828
78	2982	792
79	3024	756
80	3066	719
81	3108	682
82	3149	645
83	3188	607
84	3231	570
85	3268	532
86	3310	494
87	3351	457
88	3389	418
89	3433	381
90	3471	343
91	3513	305
92	3553	267
93	3591	229
94	3630	191
95	3669	152
96	3710	114
97	3750	76
98	3792	38
99	3832	0
